,Process Number,Area,Date of Judgement,Type of Judgement,Descriptors,Main Judgement,Full Judgement Link
363,Processo nº:  5168/11.8TCLRS.L1.S1,CÍVEL,26 de novembro de 2019,Acórdão,"Contrato de arrendamento, Fim contratual, Obras, Mora, Interpelação, Resolução do negócio, Direito à indemnização","1. Sobre o senhorio recai o dever de facultar ao inquilino o gozo do prédio arrendado para os fins a que se destina, cabendo-lhe executar todas as obras de conservação, ordinárias ou extraordinárias, requeridas pelas leis vigentes ou pelo fim do contrato, salvo estipulação cm contrário, podendo o locatário exigir que o senhorio as execute, nos termos dos artigos 1031°, alínea b), 1074°, n.° 1 e 1111"", n.° 2 do Código Civil.  2. Se o senhorio não executar as obras necessárias para manter o imóvel adequado à finalidade, incumpre uma obrigação contratual e o arrendatário poderá resolver o contrato, nos termos previstos no artigo 1083."", n.° 5 do Código Civil.  3. A constituição em mora no cumprimento do dever legal de realização de obras de conservação e manutenção exige a interpelação pelo credor, nos termos gerais do artigo 805°, n.° 1 do Código Civil.  4. Não estando demonstrada a existência de interpelação nem a recusa do senhorio a realizar as obras necessárias, mas sabendo-se que este não autorizou as obras de adaptação do estabelecimento às regras sanitárias e de higiene, que por sua vez não eram viáveis sem intervenção em todo o imóvel, tendo ele conhecimento das anomalias existentes desde 2004 e que vieram a determinar o seu encerramento, tal significa que o arrendatário deixou de poder gozar a coisa por motivo estranho ã sua pessoa ou à dos seus familiares, circunstância que lhe confere o direito a resolver o contrato, nos termos do art. 1050°, alínea a) do Código Civil, independentemente de qualquer incumprimento, ou responsabilidade, da contraparte.  5. O dever de indemnizar pressupõe a mora do devedor (senhorio), que por sua vez pressupõe a interpelação, judicial ou extrajudicial, acompanhada do estabelecimento de um prazo, pelo que na ausência de demonstração da existência de mora, a conduta omissiva não pode ser tida como ilícita ou culposa, pressuposto este da indemnização.",https://www.direitoemdia.pt/search/show/6427f8e23336fc0ca0e5340cdc71c5326634b4fffaf031be0d29f2ad9aca30dc
364,Processo nº:  2288/08.0TBPTM.E1.S1,CÍVEL,26 de novembro de 2019,Acórdão,"Contrato-promessa de compra e venda, Incumprimento definitivo, Presunção de culpa, Culpa, Causas de exclusão da culpa"," I. Para decidir se é ou não de atribuir relevância, como causa de exclusão da culpa, ao alegado pelas rés de que agiram na convicção de que o ex-marido da autora tinha poderes para negociar em nome desta, o julgador deve recorrer aos critérios estipulados no artigo 487.º, n.º 2, do Código Civil, para os quais remete o artigo 799.º, n.º 2, do mesmo diploma, norma que faz coincidir os critérios de culpa aplicáveis à responsabilidade extracontratual e à responsabilidade contratual. II. Na densificação do conceito legal do «bom pai de família», temos de ter em conta, em primeiro lugar, a atualização terminológica, valorativa e social deste conceito para o de «pessoa média», que pode ser de ambos os géneros, masculino ou feminino, e o que deve ser a sua conduta, tal como a da generalidade das pessoas, quando participa no tráfico jurídico no contexto em que o faz.   III. Estando afastado um critério subjetivo e concreto na apreciação da censura dirigida ao devedor ou devedora, ainda assim é forçoso ter em conta as circunstâncias do caso, para apurar a conduta exigível a uma pessoa média, de forma a imputar os danos ao devedor nos casos em que a sua diligência habitual seja inferior à média.     IV. A circunstância de o ex-marido da autora, no momento da revogação do contrato-promessa, ter expressamente afirmado agir em nome desta, num quadro sociológico em que geralmente os cônjuges estão de acordo e no contexto de uma relação contratual que durava há quase cinco anos, fez com que as rés, tal como sucederia com a generalidade das pessoas medianamente cuidadosas, confiassem nas declarações do ex-marido da autora, não sendo exigível que suspeitassem da falta de honestidade do seu comportamento e lhe pedissem o comprovativo da autorização da autora, agora recorrente.",https://www.direitoemdia.pt/search/show/91803072e8d8f3936ccabbef7448e0efb6aadca5055947fb029dd5c2c643dc9c
365,Processo nº:  431/14.9TVPRT.P1.S1,CÍVEL,26 de novembro de 2019,Acórdão,"Recurso de revista, Poderes do supremo tribunal de justiça, Matéria de facto, Lei processual, Violação, Erro de julgamento, Nulidade de acórdão","I. O STJ pode censurar o mau uso que o Tribunal da Relação tenha eventualmente feito dos seus poderes sobre a modificação da matéria de facto, bem como pode verificar se foi violada ou feita aplicação errada da lei de processo (alínea b) do nº1 do artigo 674º do Código de Processo Civil). II. E a existir qualquer incorreção sempre a mesma se reconduziria a violação da lei processual, o que determinaria a existência de erro de julgamento da decisão de facto e não se poderia considerar que se estava em presença de qualquer dos fundamentos da nulidade do Acórdão, fundamentos que se mostram especificados no artigo 615º do Código de Processo Civil. III. A Relação deve, em ordem à descoberta da verdade material, mesmo oficiosamente, proceder ao reexame da causa, mediante a renovação das provas produzidas na 1ª instância ou, ordenar a produção de novos meios de prova, o que tudo pode suceder desde que se lhe suscitem sérias dúvidas sobre a credibilidade da testemunha ou sobre o sentido do seu depoimento ou, no segundo caso, quando se erga fundada dúvida sobre a prova realizada – alíneas a) e b) do nº2 do artigo 662º do Código de Processo Civil. IV. A Relação pode, ainda, anular a decisão proferida na 1ª. instância quando, não constando do processo todos os elementos que permitam a alteração da decisão proferida sobre a matéria de facto, repute deficiente, obscura ou contraditória a decisão sobre pontos determinados da matéria de facto, ou quando considere indispensável a ampliação desta (alínea c)) e determinar que, não estando devidamente fundamentada a decisão proferida sobre algum facto essencial para o julgamento da causa, o tribunal de 1ª instância a fundamente, tendo em conta os depoimentos gravados ou registados (alínea d)). V. Como se preceitua no nº4 do artigo 662º do Código de Processo Civil, das decisões da Relação incidentes sobre renovação da produção de prova ou sobre a produção de novos meios de prova, bem como dos restantes procedimentos afirmados nas alíneas c) e d) do nº2 do artigo 662º do Código de Processo Civil, não cabe recurso para o STJ, ou seja, este recurso está vedado sempre que a Relação na valoração que faça dos meios de prova a cuja reponderação tenha procedido não encontre dúvidas sobre a credibilidade do depoente ou o sentido com que deve valer o conteúdo do respetivo depoimento, nem sobre a prova realizada na 1ª instância. VI. Assim, o recurso poderá ter lugar apenas quando, reconhecida uma situação de dúvida como a prevista nas alíneas a) e b), e com as deficiências constantes das alíneas c) e d), e confrontado, o Tribunal da Relação, em vez de cumprir o dever de a ultrapassar, lançando mão dos meios postos ao seu dispor para perseguir a descoberta da verdade, se remete à passividade, incumprindo a lei processual que lhe cominava esse poder – dever.",https://www.direitoemdia.pt/search/show/91803072e8d8f3936ccabbef7448e0efb6aadca5055947fb029dd5c2c643dc9c
366,Processo nº:  7413/14.9T8LRS.S1,CÍVEL,26 de novembro de 2019,Acórdão,"Associação em participação, Litigância de má fé","I.       Constitui associação em participação a situação em que alguém que exerce uma actividade económica de compra de imóveis para revenda e exploração dos imóveis comprados antes da sua alienação acorda com outrem a partilha dos resultados resultantes da sua actividade, numa caso em que o acordo abrangia a repartição de lucros e de perdas.  II.       Deve ser condenado como litigante de má-fé a parte que teve ao longo do processo uma atitude de negar evidências relativamente a situações em que, no mínimo, lhe era exigível um outro comportamento, quando não se possa afirmar que a sua postura processual se reconduz apenas a uma elevada insatisfação e inconformismo, com idêntico nível de litigiosidade, dentro de um quadro de normalidade em caso de litígio judicial.",https://www.direitoemdia.pt/search/show/489122433814c9bbbc3a180962f8707ba1634e61d519339411fde62db00ae548
367,Processo nº:  92/13.2TBPMS.C1.S1,CÍVEL,21 de novembro de 2019,Acórdão,"Nulidade de acórdão, Litisconsórcio, Litisconsórcio legal, Litisconsórcio necessário, Condenação extra vel ultra petitum, Poderes da relação, Reapreciação da prova","I.     Defere-se a presente reclamação para a conferência, admitindo-se o recurso, circunscrito à apreciação da alegada violação das normas processuais respeitantes à reapreciação da prova por não ter a Relação formado uma convicção própria, e, em consequência, à apreciação das invocadas nulidades do acórdão recorrido correctamente qualificadas como tal.  II.    No caso dos autos, resultando do teor da fundamentação do acórdão recorrido que a Relação procedeu à apreciação dos meios de prova invocados numa e noutra apelação, com referência à factualidade impugnada, não se limitando a aderir ao juízo probatório da 1ª instância, antes formando uma verdadeira convicção própria, conclui-se pela inexistência da alegada violação das normas processuais respeitantes à reapreciação da prova.",https://www.direitoemdia.pt/search/show/489122433814c9bbbc3a180962f8707ba1634e61d519339411fde62db00ae548
368,Processo nº:  1986/06.7TVLSB-C.L1.S2,CÍVEL,21 de novembro de 2019,Acórdão,"Litigância de má fé, Notificação, Notificação pessoal, Representante, Pessoa colectiva, Pessoa coletiva, Constitucionalidade","I.      De acordo com o despacho proferido nos autos, no presente caso em que a decisão de condenação por litigância de má-fé integra a decisão que põe termo ao processo, não está em causa uma decisão interlocutória, mas antes uma parte ou extensão da decisão de mérito; assim, e ainda que não se ignore existirem, a esse respeito, divergências na jurisprudência do STJ, considerou-se ser a decisão recorrível nos termos gerais do nº 1 do art. 671º do CPC. II.    Incindindo a decisão de condenação por litigância de má-fé sobre os “representantes legais da autora”, os actos de notificação da própria sociedade autora não podem valer como notificação pessoal dos seus representantes legais; nem tampouco o conhecimento pessoal que estes possam ter dos factos provados relevantes, nos quais a sobredita condenação se fundou, pode suprir a falta de notificação pessoal, se tal falta tiver ocorrido. III.    Assim, comprovando-se que um dos recorrentes (i) não foi nominalmente notificado; (ii) à data da notificação dos despachos em causa, não era já representante legal da autora; (iii) não veio aos autos apresentar resposta aos despachos da 1ª instância que ordenaram a notificação do “representante legal” da autora; forçoso é concluir não ter o mesmo recorrente sido pessoal e devidamente notificado. IV.      Compulsado o processo, verifica-se que, por acórdão anterior da Relação, foi definida – e não impugnada – a aplicação do regime da condenação por litigância de má-fé anterior à reforma do CPC (introduzida pela Lei nº 41/2013, de 26/06), de acordo com o qual, quando a parte for uma pessoa colectiva, a responsabilidade pelas custas, multa e indemnização inerentes à condenação recai sobre o representante legal da mesma; na medida em que os ora recorrentes, na primeira vez que vieram ao processo, não invocaram qualquer nulidade processual – designadamente pelo facto de o direito aplicável ter sido definido antes de terem sido pessoalmente notificados, não lhes tendo sido dada oportunidade de se pronunciarem sobre a questão da própria determinação de tal regime – formou-se a esse respeito caso julgado formal.  V.  Quanto à alegada inconstitucionalidade da interpretação e aplicação do regime dos arts. 456º e ss do CPC antigo, por violação do princípio da retroactividade das normas sancionatórias de conteúdo mais favorável, mostra-se evidente, a partir da conclusão do ponto IV, que o acórdão recorrido não interpretou nem aplicou as normas em causa, antes se limitou a considerar ter-se formado caso julgado formal a respeito da aplicação de tais normas. Pelo que não padece o acórdão recorrido da invocada inconstitucionalidade.",https://www.direitoemdia.pt/search/show/f3085cfe2b13843f1f1375558a600a42d8e69c1b21931bd7a0d5576677b1e916
369,Processo nº:  11701/15.9T8LSR-A.L1.S2,CÍVEL,21 de novembro de 2019,Acórdão,"Responsabilidade civil extracontratual, Dívidas hospitalares, Lesado, Responsabilidade criminal, Princípio da adesão, Prescrição, Início da prescrição, Interrupção da prescrição","I.  O estabelecimento hospital que contribuiu para o tratamento ou assistência da vítima é titular de um direito de indemnização que tem origem no facto ilícito, logo é um lesado nos termos e para os efeitos do artigo 495.º, n.º 2, do CC. II.  O disposto, em especial, no artigo 3.º do DL n.º 218/99, de 15.06., quanto ao início da contagem do prazo de prescrição do direito de indemnização de que são titulares as entidades integradas no Serviço Nacional de Saúde não afasta a aplicabilidade dos princípios e das regras gerais sobre a prescrição em tudo o que com ele não contenda. III. Configurando o facto gerador do direito de indemnização um ilícito criminal, é aplicável, em princípio, a extensão do prazo de prescrição prevista no artigo 498.º, n.º 3, do CC, beneficiando tanto o ofendido / lesado principal como os restantes lesados. IV.  Estando, por força do princípio da adesão do pedido indemnizatório à acção penal (cfr. artigo 71.º do CPP), todos os lesados impedidos de deduzir aquele pedido, em separado, nos tribunais cíveis, a contagem do prazo de prescrição do direito de indemnização não se inicia antes de proferido o despacho de acusação / de arquivamento, em conformidade com o disposto no artigo 306.º, n.º 1, do CC.",https://www.direitoemdia.pt/search/show/f3085cfe2b13843f1f1375558a600a42d8e69c1b21931bd7a0d5576677b1e916
370,Processo nº:  17085/15.8T8 LSB.L1.S2,CÍVEL,12 de novembro de 2019,Acórdão,"Revista excepcional, Revista excecional, Formação de apreciação preliminar, Recurso de revista, Admissibilidade de recurso, Competência do relator, Direito de preferência, Questão nova","I - A Formação admitiu a revista excepcional, com fundamento na al. a) do n.º 1 do art. 672.º do CPC, relativamente à questão referida pelo recorrente nas suas alegações da (in)existência do direito de preferência dos arrendatários de partes de prédios não constituídos em regime de propriedade horizontal.  II - A decisão da Formação não pode ultrapassar a barreira de que o recurso se destina a impugnar as decisões da sentença ou acórdão recorrido e não a apreciar, nessa sede, questões não suscitadas pelas partes ou que não sejam de conhecimento oficioso e que não foram tratadas na decisão recorrida, surgindo, por isso, como questões novas.  III - Proferida a decisão da Formação no sentido da admissibilidade do recurso, nesta estrita formulação, compete ora ao relator exercer as funções que lhe são atribuídas pelo art. 652.º, ex vi do art. 679.º, ambos do CPC, designadamente a de verificar se alguma circunstância obsta ao conhecimento do recurso (al. b) do n.º 1).  IV - Com efeito, verifica-se do próprio enunciado da petição que o direito de preferência só foi controvertido quanto à intenção da terceira ré de o exercer de facto e quanto à sua extinção por caducidade, nunca tendo sido objecto de apreciação na 1.ª instância, nem tinha que ser oficiosamente a referida questão da existência do direito, uma vez que nessa parte não havia desacordo entre as partes, o administrador da insolvência notificara a 3.ª ré para o exercer e não resulta patente da matéria de facto que o mesmo não existisse, no caso.  V - Apenas tendo sido suscitada pelo autor no recurso de apelação a questão da existência do direito, tendo a Relação considerado, e bem, que não fora tal questão tratada no recurso e, por isso, não havia que conhecer dela, a mesma não pode fundar uma apreciação em sede de revista.",https://www.direitoemdia.pt/search/show/3532cc8d71dad4ce78b1b928ef0d109da2036fc4ef7204fc013a69c88a905cb4
371,Processo nº:  4669/13.8TBFUN-C.L1.S1,CÍVEL,12 de novembro de 2019,Acórdão,"Insolvência, Contrato-promessa, Verificação de créditos, Falta de resposta à impugnação"," Na hipótese de falta de resposta à impugnação da lista provisória de créditos, prevista no artigo 131.º, n.º 3, do CIRE, são necessariamente admitidos os factos alegados na impugnação, mas o juiz não fica dispensado de proceder às diligências necessárias e adequadas à verificação do crédito, nos termos do artigo 136.º do CIRE.",https://www.direitoemdia.pt/search/show/3532cc8d71dad4ce78b1b928ef0d109da2036fc4ef7204fc013a69c88a905cb4
372,Processo nº:  537/14.4T8FAR.E1.S1,CÍVEL,12 de novembro de 2019,Acórdão,"Processo de inventário, Avaliação de bens, Conferência de interessados, Relação de bens, Reclamações","I Resulta do artigo 2109º, nº1 do CCivil que o valor dos bens doados é o que os mesmos tiverem à data da abertura da sucessão, mas se sobrevier um valor superior do bem por via de uma avaliação requerida por algum dos interessado é este o valor a ter em conta a não ser que os demais interessados o contestem, e se o contestarem esse valor nunca poderá ser tomado em atenção para efeitos de partilha, sem mais. II Este regime específico do processo de inventário não se coaduna com o regime geral das avaliações, nomeadamente, quanto à necessidade de requerer uma segunda avaliação no prazo de dez dias a contar da notificação do resultado da primeira avaliação, nos termos dos dispositivos aludidos nos artigos 589º a 591º do CPCivil, o que significa que a decisão que indeferiu, sem mais, aquela diligência, não se pode manter. III Tendo em atenção o disposto no artigo 1353º, nº4, alínea a) do CPCivil na redacção dada pelo DL 227/94, de 8 de Setembro aqui aplicável, é à conferência de interessados que compete deliberar das reclamações deduzidas sobre o valor atribuído aos bens relacionados e sobre a aprovação do passivo e forma de cumprimento dos legados e demais encargos da herança. IV Em tema de processo de inventário há lugar a uma segunda avaliação quando os interessados, na conferência, não acordem no valor a atribuir aos bens e requeiram a sua efectivação:  este regime específico do processo de inventário não se coaduna com o regime geral das avaliações, nomeadamente, quanto à necessidade de requerer uma segunda avaliação no prazo de dez dias a contar da notificação do resultado da primeira avaliação, nos termos dos dispositivos aludidos nos artigos 589º a 591º do CPCivil. V Não impondo a Lei qualquer prazo para a reclamação da omissão de bens, poderá  a mesma ter lugar até ao trânsito em julgado da sentença homologatória da partilha. (APB).",https://www.direitoemdia.pt/search/show/54d732f8211ef187ff33df218a8a672253951d25001e9ae572713d9307c6596d
373,Processo nº:  958/07.9TBCVLC1.S1,CÍVEL,12 de novembro de 2019,Acórdão,"Arrendamento rural, Benfeitorias úteis","Quando as benfeitorias úteis não possam ser levantadas sem detrimento do prédio tem o arrendatário o direito de ser compensado por tais benfeitorias de acordo com as regras do enriquecimento sem causa (artigo 1273.º, n.º 2, do CC).",https://www.direitoemdia.pt/search/show/54d732f8211ef187ff33df218a8a672253951d25001e9ae572713d9307c6596d
374,Processo nº:  21768/16.7T8PRT.P1.S1,CÍVEL,12 de novembro de 2019,Acórdão,"Impugnação de paternidade, Investigação da paternidade, Paternidade biológica, Filiação, Princípio da proporcionalidade, Abuso do direito"," I - A ação de impugnação da paternidade estabelecida por reconhecimento (perfilhação) não está sujeita a qualquer prazo, é imprescritível. II - Estando a paternidade deferida registralmente ao perfilhante, não podia o filho fazer investigar, sem afastar previamente a filiação constante do registo (registo inibitório), a sua paternidade biológica. III - Neste caso, a ação de investigação da paternidade podia ser proposta nos três anos seguintes ao cancelamento do registo inibitório, cancelamento esse obtido através da procedência da ação de impugnação da paternidade registada. IV - O abuso do direito só existe em casos verdadeiramente excecionais, em casos de gritantes, ofensivos do sentimento ético-jurídico dominante, clamorosamente opostos aos ditames da lealdade e da correção imperantes na ordem jurídica e nas relações sociais. V - A desproporção entre a vantagem do titular e o sacrifício por este imposto a outrem só releva, em sede de abuso do direito, quando existe uma grande vantagem para uma pessoa à custa de outra e isso sem que se apresente uma especial justificação para tanto; deverá haver uma desconexão (uma desproporção) entre as situações sociais típicas prefiguradas pelas normas jurídicas que atribuem direitos e o resultado prático do exercício desses direitos. VI – Não existe abuso do direito com referência aos pressupostos constantes dos pontos IV e V naquela situação em que o filho propõe ação tendente a impugnar a perfilhação e a reconhecer a paternidade biológica cerca de quatro anos depois de saber quem era o seu pai.",https://www.direitoemdia.pt/search/show/f75a9262cf4631d641cd34f38fdc7dd4e616d67200bbf8ae2a310666259cd10a
375,Processo nº:  8927/18.7T8LSB-A.L1.S1,CÍVEL,12 de novembro de 2019,Acórdão,"Convenção de arbitragem, Interpretação da declaração negocial, Preterição do tribunal arbitral, Exceção dilatória, Princípio do acesso ao direito e aos tribunais, Apoio judiciário","I. A convenção de arbitragem está submetida às regras gerais de interpretação do negócio jurídico. A convenção vale com o sentido que um declaratário normal, colocado na posição do real declaratário, possa deduzir do comportamento do declarante, salvo se este não puder razoavelmente contar com ele; e, sendo um negócio formal, não pode valer com um sentido que não tenha um mínimo de correspondência no texto do respetivo documento (artigos 236º, 238º do Código Civil e 2º, nº1. da LAV. II. No caso presente, quando a convenção refere que se pode recorrer à arbitragem, após a inviabilidade de uma solução amigável, está a referir-se à possibilidade de qualquer das partes se socorrer da via litigiosa, com a constituição de um tribunal arbitral, e não à possibilidade de uma alternativa ao tribunal estadual. III. Face ao princípio consagrado no artigo 18º, nº1, da LAV, segundo o qual incumbe ao tribunal arbitral pronunciar-se sobre a sua própria competência, apreciando para tal os pressupostos que a condicionam – validade, eficácia e aplicabilidade ao litígio da convenção de arbitragem -, os tribunais judiciais só devem rejeitar a exceção dilatória de preterição de tribunal arbitral, deduzida por uma das partes, determinando o prosseguimento do processo perante a jurisdição estadual, quando seja manifesto e incontroverso que a convenção/cláusula compromissória invocada é inválida, ineficaz ou inexequível ou que o litígio, de forma ostensiva, se não situa no respetivo âmbito de aplicação. IV. A insuficiência económica superveniente, e sem culpa, da parte para custear as despesas com a convenção de arbitragem, fará com que a exceção de preterição de tribunal arbitral não se lhe possa opor, porquanto conduziria a uma situação de denegação de justiça (e de acesso aos tribunais) e à consequente violação do disposto no artigo 20º, nº1, da CRP. V. A mera concessão de apoio judiciário, na modalidade de dispensa de taxa de justiça e demais encargos com o processo, sem qualquer outra alegação de insuficiência económica superveniente e sem culpa da parte, não é suficiente para afastar a procedência da exceção de preterição do tribunal arbitral.",https://www.direitoemdia.pt/search/show/f75a9262cf4631d641cd34f38fdc7dd4e616d67200bbf8ae2a310666259cd10a
376,Processo nº:  468/15.0T8PDL.L1.S1,CÍVEL,12 de novembro de 2019,Acórdão,"Danos futuros, Cálculo da indemnização, Equidade","I - Estando em causa danos futuros (despesas a suportar com a assistência de terceira pessoa durante 42 anos) cujo valor exato não é passível de fixação, atentas as especificidades e vicissitudes que lhe são próprias, tal valor só pode ser fixado com recurso à equidade e dentro dos limites objetivos que foram dados como provados – nos termos do disposto no n.º 3 do art. 566.º do CC, que não através de tabelas matemáticas, cuja utilização apenas pode ter lugar como mero auxiliar.  II - Para além da imprevisibilidade da variação da taxa de rentabilidade, atento o período temporal a considerar (42 anos), há que ter em conta o expectável aumento das despesas a suportar nesse período, sendo expectável que vá, e a breve trecho, além dos € 750,00 mensais que foram considerados pela Relação.  III - Perante tais elementos, e com recurso à equidade, afigura-se correto e ajustado dever proceder-se a uma dedução, para compensar o recebimento antecipado do capital, situada à volta dos 10%.",https://www.direitoemdia.pt/search/show/56de49c2873c539873ffb54fa3a0d8b13c9240ceeeaafcdb11becce13ff8ad28
377,Processo nº: 2449/15.5T8PDL.L1.S1,CÍVEL,7 de novembro de 2019,Acórdão,"Recurso de revista, Dupla conforme, Fundamentação, Alteração dos factos, Rejeição de recurso","I. Para efeitos de aferição da conformidade ou da desconformidade decisória, não pode ser atribuído significado a alterações irrelevantes e sem reflexo na decisão final, sob pena de, no caso contrário, o disposto no artigo 671.º, n.º 3, do CPC ficar destituído da sua função substancial (que é a de efectuar a selecção dos casos em que é justificado o acesso ao terceiro grau de jurisdição). II. A alteração de um único ponto da decisão sobre a matéria de facto que visa precisar ou explicitar o teor de um facto provado e não tem reflexo na decisão não é apta a descaracterizar a dupla conformidade, verificando-se, da mesma forma, este bloqueio recursório.",https://www.direitoemdia.pt/search/show/56de49c2873c539873ffb54fa3a0d8b13c9240ceeeaafcdb11becce13ff8ad28
378,Processo nº:  3113/17.6T8VCT.G1.S1,CÍVEL,7 de novembro de 2019,Acórdão,"Recurso de apelação, Admissibilidade de recurso, Alegações de recurso, Conclusões, Convite ao aperfeiçoamento","I.     Compulsado o recurso de apelação da autora constata-se: (i) que o teor das respectivas conclusões se encontra dividido em 96 pontos enquanto o corpo das alegações se encontra organizado em 121 artigos; (ii) que o teor das conclusões ainda que muito próximo do teor do corpo das alegações, não coincide inteiramente com ele. II.     Bastariam tais dados para se reconhecer que a apelação da autora não é omissa em conclusões e que, quando muito, ajuizando tais conclusões como sendo complexas ou prolixas, devia o tribunal ter formulado convite ao seu aperfeiçoamento. III.   A resposta teria de ser a mesma ainda que se entendesse que o texto das conclusões recursórias constitui a repetição (quase) integral do texto da alegação propriamente dita; com efeito, a orientação da jurisprudência consolidada do STJ é no sentido de que a circunstância de, em sede de conclusões, o recorrente reproduzir a motivação constante da alegação propriamente dita não configura um caso de falta de conclusões, não podendo, por isso, o recurso ser rejeitado de imediato, antes devendo ser proferido despacho convidando ao aperfeiçoamento, com fundamento na apresentação de conclusões complexas ou prolixas.",https://www.direitoemdia.pt/search/show/bc29aaf7f644882ebc2f81e29d5b71095772504fa94f162b53b3b269a7358fb9
379,Processo nº:  30202/16.1YIPRT.L1.S1,CÍVEL,7 de novembro de 2019,Acórdão,"Oposição entre os fundamentos e a decisão, Nulidade da decisão, Pedido, Causa de pedir, Enriquecimento sem causa, Ónus da prova","I. A alegação de uma contradição entre os factos provados e a decisão consubstancia a alegação de um erro de julgamento e não da oposição (incompatibilidade lógica) entre os fundamentos e a decisão que é pressuposto da nulidade prevista no artigo 615.º, n.º 1, al. c), 1.ª parte, do CPC.  II. Em fórmula simples, o pedido ou a pretensão é o efeito jurídico visado pela parte e a causa de pedir é o facto ou conjunto de factos jurídicos de que procede aquele pedido / aquela pretensão. III. Não tendo a parte exercido o ónus da prova dos factos jurídicos que sustentam o seu pedido, não pode a acção resolver-se a seu favor (cfr. artigo 342.º, n.º 1, do CC e artigo 414.º do CPC).",https://www.direitoemdia.pt/search/show/bc29aaf7f644882ebc2f81e29d5b71095772504fa94f162b53b3b269a7358fb9
380,Processo nº:  4064/14.1T8STB.E1.S2,CÍVEL,26 de novembro de 2019,Acórdão,"Revista excepcional, Revista excecional, Acórdão recorrido, Ampliação do âmbito do recurso, Conhecimento prejudicado, Matéria de facto, Anulação de acórdão","I-   Admitido o recurso de revista excepcional, e impondo-se ao STJ conhecer de questão de direito, admitindo-se que o mesmo possa não manter a decisão recorrida, e tendo no acórdão do Tribunal da Relação ficado prejudicado o conhecimento do pedido de ampliação do  objecto do recurso, impõe-se uma prévia definição dos factos à pronúncia do STJ.  II-   Na situação indicada, deve anular-se o acórdão recorrido, mandando baixar os autos para que se conheça da questão prejudicada e da solução jurídica que se imponha após esse conhecimento.",https://www.direitoemdia.pt/search/show/f4f4f5cee45366f2d1c7cd5d87d14640f77d0e1aa1f4c3cee7470ed35cea425b
381,Processo nº:  5168/11.8TCLRS.L1.S1,CÍVEL,26 de novembro de 2019,Acórdão,"Contrato de arrendamento, Fim contratual, Obras, Mora, Interpelação, Resolução do negócio, Direito à indemnização","1. Sobre o senhorio recai o dever de facultar ao inquilino o gozo do prédio arrendado para os fins a que se destina, cabendo-lhe executar todas as obras de conservação, ordinárias ou extraordinárias, requeridas pelas leis vigentes ou pelo fim do contrato, salvo estipulação cm contrário, podendo o locatário exigir que o senhorio as execute, nos termos dos artigos 1031°, alínea b), 1074°, n.° 1 e 1111"", n.° 2 do Código Civil.  2. Se o senhorio não executar as obras necessárias para manter o imóvel adequado à finalidade, incumpre uma obrigação contratual e o arrendatário poderá resolver o contrato, nos termos previstos no artigo 1083."", n.° 5 do Código Civil.  3. A constituição em mora no cumprimento do dever legal de realização de obras de conservação e manutenção exige a interpelação pelo credor, nos termos gerais do artigo 805°, n.° 1 do Código Civil.  4. Não estando demonstrada a existência de interpelação nem a recusa do senhorio a realizar as obras necessárias, mas sabendo-se que este não autorizou as obras de adaptação do estabelecimento às regras sanitárias e de higiene, que por sua vez não eram viáveis sem intervenção em todo o imóvel, tendo ele conhecimento das anomalias existentes desde 2004 e que vieram a determinar o seu encerramento, tal significa que o arrendatário deixou de poder gozar a coisa por motivo estranho ã sua pessoa ou à dos seus familiares, circunstância que lhe confere o direito a resolver o contrato, nos termos do art. 1050°, alínea a) do Código Civil, independentemente de qualquer incumprimento, ou responsabilidade, da contraparte.  5. O dever de indemnizar pressupõe a mora do devedor (senhorio), que por sua vez pressupõe a interpelação, judicial ou extrajudicial, acompanhada do estabelecimento de um prazo, pelo que na ausência de demonstração da existência de mora, a conduta omissiva não pode ser tida como ilícita ou culposa, pressuposto este da indemnização.",https://www.direitoemdia.pt/search/show/f4f4f5cee45366f2d1c7cd5d87d14640f77d0e1aa1f4c3cee7470ed35cea425b
